"GA.Poly" "GA.Poly.reg"
0.657 3.223
0.607 0.442
0.508 0.490
2.607 0.509
0.474 0.485
0.750 0.704
0.479 0.807
0.540 0.968
0.490 0.471
0.697 0.608
0.593 0.511
0.506 0.702
0.573 0.702
0.492 0.525
0.516 0.451
0.532 0.503
0.484 0.468
0.616 0.557
1.781 0.447
0.443 0.514
0.602 0.588
0.652 0.552
0.651 0.506
0.603 0.561
0.597 0.554
0.667 0.633
0.663 0.655
0.776 0.829
0.602 0.573
0.492 0.481
0.470 0.556
0.506 0.847
0.487 0.490
0.513 0.509
1.918 0.525
0.540 0.577
0.603 0.751
0.570 0.606
0.548 0.547
0.600 2.128
0.812 2.170
0.493 0.497
0.502 0.454
0.493 0.502
0.467 0.426
0.654 0.513
0.523 0.576
0.585 0.556
0.611 0.509
0.540 0.639
